ID,Datum_ontvangst,Product,Omschrijving,Antwoord_bedrijf
1758329,2024-01-26,Kredietregistratie,"From XXXX XXXX XXXX XXXX XXXX # XXXX XXXX VA XXXX 1. The credit Bureau will not correct my address I have sent over 10 letters to have my address corrected and still it has not been done. All I GET IS VERIFIED AND THEY OPEN A FRAUD ALERT JUST TO CHANGE AN ADDRESS. THIS IS NOT THE PROCESS. 
2. I have sent over 10 letters to all the inquire COMPANIES on my credit report to have them REMOVED and get no reply from the creditors. All I get from the credit bureaus is VERIFIED AND THEY OPEN A FRAUAD ALERT. I have informed the credit bureaus.. I get no reply and they ignore me and open a fraud alert. 
3. By court order the bankruptcy and all accounts in the bankruptcy are to be removed from my report XXXX the state of XXXX because the credit companies did not do a good job at investigating the inaccurate info on the bankruptcy and READ them. They opened a fraud alert. 
4. The answers for anything is open a fraud alert not do the work of removing inaccurate info. 
5. This is what needs to be done 6. a. remove all fraud alters 7. b. remove ALL inquires I have not applied for credit DO N'T SAY VERIFIED!!!!!! 
8. c. remove bankruptcy per the order and all accounts in bankruptcy from my credit report 9. Change my address!!!!!!",Closed with explanation
2090404,2024-08-31,Kredietregistratie,I have submitted XXXX disputes with TransUnion over the past several months. I have not received a single response from them via US Mail with the results of their investigations. I also have not seen any changes on my credit report based on the credit report that has been provided to me by my credit monitoring service.,Closed with explanation
1859844,2024-04-01,Kredietregistratie,I contacted the reporting aciency reguarding information that should be off my account due to either settlements that I am not allowed to discuss or companies that can not prove that this debt is mine. My personal information has been stolen from XXXX different data breaches so I want a signed contract or the credit reporting agiency needs to remove it imediatley. All these companies need to do is say someone owes them and then your life is ruined. I will retain a lawyer if the items I disputed are not removed imediatley.,Closed with explanation
1778663,2024-02-08,Incasso,"I have contacted AWA collections 3 times by certified mail as well as disputed the XXXX fraudulent accounts with all XXXX credit bureaus and they allege the accounts belong to me. I have a police report on file in this regard and I have supplied a copy of the police report to them. The last time I contacted them by mail was on XXXX XXXX, XXXX has been two months and they still ignore me but yet and still they continue to report the accounts. Accounts Numbers XXXX and XXXX",Closed with explanation
2012093,2024-07-15,Consumentenkrediet,"I financed dental work through Care Credit which has a "" no interest if paid in full '' by the time limit financing. I was one day late paying the minimum due in XXXX, 2015 and was charged a {$25.00} late fee. Every month since then, Care Credit has charged a {$2.00} per month interest charge ( 26.99 % interest ) on the {$25.00} late fee.The late fee was submitted as an additional amount for the minimum payment due, but Care Credit continues charge the {$2.00} per month interest charge on the late fee. I have now paid {$18.00} for the {$25.00} late fee. Very deceptive practices going on!",Closed with monetary relief
2354744,2025-02-21,Creditcard,"I applied for a Commenity Bank/XXXXVISA balance transfer on XX/XX/2017 for {$6100.00} to my XXXX XXXX account. Commenity Bank/XXXXVISA charged my account the {$6100.00} plus a transfer fee immediately but till this date has not made the balance transfer. I have called them on so many occasions. I have heard stories from Commenity Bank/XXXXVISA that the transfer takes up to 60 day to just recently, the check for the transfer was sent out and cashed. My XXXX XXXX account still has not received any transfer. Now I have the amount of the balance transfer showing up as additional debt on my credit report which has negatively affected it and I 'm paying for a transfer that was never made. I already told them I do n't want the transfer anymore. Please help.",Closed with explanation
2198163,2024-11-07,Incasso,"I have been getting aggressive phone calls at my work and on my cell phone from a company named Performant who took over a loan I have no idea what it 's for ( I 'm pretty sure it is student loansI have repeatedly asked them to send info on what it is but they give me the runaround. If I know what it is I would be more than happy to pay it. But they are short, rude and will not work with me.",Closed with explanation
2141710,2024-10-02,Incasso,"Firstly, Financial Corporation of America always sends debt collection mail without any detail of service. 

I received a debt collection mail, asking me pay {$61.00} to XXXX XXXX XXXX, for the service conducted on XXXX/XXXX/2015. There was no any details of the service and evidence of they contacted my insurance company already. 
I called them, and they sent me a XXXX lines service details. The original cost was XXXX and after insurance, I need to pay {$61.00}. 

I paid {$61.00} to them, although I was not that clear about the services, but I knew I did see doctor on XXXX/XXXX/2015. 

Then around 10 days later, I received another letter from Financial Corporation of America, which asks me to pay {$810.00} for the service XXXX conducted on the same day, XXXX/XXXX/2015. Again, there is no any details. 

Firstly, I paid after insurance {$61.00} already. Secondly, It is rude to ask people to pay without any supporting details. 

I demand Financial Corporation of America to stop sending any bill without details for the service and evidence that they contacted my insurance already.",Closed with explanation
1954200,2024-06-03,Creditcard,"I just lost my job and now I have time and wanted to consolidate my bills, call the credit card companies and set up payment plans. I called this number XXXX on XXXX/XXXX/16 at XXXX. A man answered me and asked for an account number which I could not give. He said something about it had to be transferred to customer service, then there was dead air. I said 'hello ', 'hello ' and no one answered, I got nervous so I hung up. I did not bother calling back. I did call CFPB as I wanted to make sure that what I was doing was right. I spoke to a very kind lady who gave me good advise and gave me a number to non-profit financial advisors should I wish to seek advise/guidance. 

At around XXXX, and my aunt sent me a message asking me to give her a call once I got to Pa. 

I called my aunt once I was in Pa and she told me that there was a court summons, the neighbor called my uncle because the neighbor did not want to sign the court summons addressed to me. 

I guess someone signed for it as my Aunt had the copy of the summons. I feel that my privacy was violated. It seemed fishy to me that I gave them a call, someone answered, there was dead air and suddenly someone showed up with a court summons dated XXXX XXXX, 2016.",Closed with explanation
2420593,2025-04-06,Creditcard,"Discover is not posting payments on time. My bank shows an earlier date when payment was withdrawn from my account, and Discover shows a later date. Why is there a later date? Is Discover getting more interest than is due by posting on a later date?",Closed with explanation
2262700,2024-12-23,Creditcard,I have a hard hit inquiry on my XXXX Credit Report by Chase Card that I do n't recall authorizing.,Closed with explanation
2177084,2024-10-25,Hypotheek,"My mortgage has been paid in full to this company and they are telling 6 months before the lien is released. I need this lien released immediately. I have another bank that I refinanced through that has to place the lien on the property. I have kept calling and keep getting told its "" in process. '' No one is helping get this lien released.",Closed with explanation
1792930,2024-02-18,Creditcard,"I purchased a refrigerator from Sears. The Sears sales representative made me aware of a two year no interest payment option by applying for and using a Sears credit card. I opened the credit card and made the purchase which included the refrigerator as well as a {$490.00} protection plan, which they assured me could be returned for a full refund. I decided to return the protection plan, which was fairly straightforward. The return was reflected on my account and I was pleased. Some time after this I noticed a charge of {$490.00} and then a refund of {$490.00} on the same day. Since the net effect was zero, I did not think too much of it. On my next statement I see that I am being charged interest on a non promotional balance of {$490.00}. From what I can tell they charged {$490.00} to a "" non promotional balance '' and then refunded it from the promotional balance, which was the account that does not charge interest.",Closed with non-monetary relief
1580577,2023-09-25,Kredietregistratie,"I have filed for Bankruptcy Chapter XXXX back on XXXX XXXX, 2013. Discharged on XXXX XXXX, 2013. All accounts should be showing Chapter XXXX bankruptcy on my credit report, however last month I discovered that my XXXX XXXX XXXX account was reporting as 'Opened ' and 'Late '. When I filed a dispute with Experian, the results came back as a 'Collection ' item. Item was NEVER placed into collection. It should be part of bankruptcy. Please help.",Closed with explanation
1519127,2023-08-14,Bankrekening,"On XX/XX/XXXX I did a mobile deposit to mt account at bank of america. 
I deposited check XXXX from XXXX XXXX XXXX Bank for {$1800.00}. 
The check was made payable to XXXX XXXX. 
The check originator was XXXX XXXX. 
The money remained in my account for 64 days. 
On XXXX XXXX I received notice from bank of america that a debit adjustment duplicate item, reversing deposit made on XX/XX/XXXX in the amount of - $ XXXX immediately called bank of america XXXX After many weeks of phone calls and escalating to there XXXX number, I finally found out what happened. 
I place the mobile checks in my desk drawer at work, shredding them after the 14 day hold period. Someone removed the check from my desk drawer and deposited into there account on XX/XX/XXXX. 
Bank of america sent me a copy of the check and it was endorsed by an individual I do not know. 
A XXXX XXXX wrote, "" pay to the order of XXXX XXXX "" on the back of the check and than signed my name next to it. 
He deposited into his bank of america account. 
In talking with many people at bank of america, they say there is nothing they can do, I did not secure the check. The check was stolen from my desk drawer. 
I have talked with the issuing bank, XXXX in XXXX XXXX and this is what they told me : The funds were deposited to my account on XXXX XXXX per the original check. The funds were in my account for 64 days and than stolen from my account. The check never hit the originators account a XXXX time. XXXX says this is for my bank tsetse with the FDIC. XXXX did report the check stolen at her end, but her bank says the funds went to the intended account. 
Now it is XXXX XXXX and XXXX XXXX is feeling pretty good, he has the funds in his account for over a month and is good to go. 
I am out {$1800.00} based on a fraudulant deposit. 
I have attached a copy of the check in question. 
Bank of America needs to step up and help resolve this and stop quoting there mobile bank policy.I am out the money because I did not present the paper check and the mobile transaction got wiped out. There is a Correction of Errors to the mobile bank process that needs to be done here. 
How do I get my {$1800.00} back? 

From an article in digital transactions XX/XX/XXXX : Most banks have duplicate detections upfront on their XXXX products, '' says XXXX XXXX, executive vice president of the XXXX-based XXXX ( XXXX ), which establishes rules for check-image exchange. "" Within the bank, if you try to put in the same check twice, your bank is probably going to stop it. "" Banks that exchange check images under XXXX rules or Federal Reserve rules do make warranties to each other against duplicate payments, says XXXX. It 's important to note, she adds, that if a bank does pay on a duplicate transaction, those rules do n't govern which of the banks that sent the check image for payment must reimburse the paying bank. The rules also do n't favor the bank that has the paper check, she says. 

Does Bank of America not have this set up?",Closed with monetary relief
2158769,2024-10-14,Kredietregistratie,"I have asked the credit bureaus to validate the bankruptcys on My credit report. Their response has been they have validated the items. They responded that they did. I spoke to them on the phone and Asked how they verified the information. Their response was they used a 3 party to validate these claims. They would not say who this third party was. I spoke with the clerk of courts and they do NOT supply the credit bureaus with this information when I disputed the items. Not only that the address supplied by the credit report company is in accurate, thus another reason why these items need to be removed. When these items are validated by a 3rd party we do not know how many other parties are in the string of validation and does not come from the original source. I feel This is violation of the fair reporting act which clearly stated this information needs to be validated directly from the source. By using another credit reporting to validate a debt is NOT verifying a debt!",Closed with explanation
2302514,2025-01-21,Hypotheek,"My wife and I have lived in our house for over 8 years and have never once had a late or missed mortgage payment. We wanted to refinance to a 15 year loan as offered to us by our State Farm insurance agent, and since we earn FAR more money now than we did when we first bought the house this change would not in any way be a problem for us financially. 
The refinance process began XX/XX/XXXX, and we were given a tentative closing date of XX/XX/XXXX. Due to the birth of our son, it took us about 3 weeks ( XX/XX/XXXX ) to submit all required paperwork - which was admittedly our fault. However, we heard absolutely nothing from anyone until XX/XX/XXXX ( nearly a month after we were supposed to close and two months after sending everything in ) and were told they needed more documents, which we submitted the next day. Why did it take so long to realize they needed more information? Throughout the two month time period, we sent numerous requests for verification that they had everything needed - all of which went unanswered. 
Then, over a month later XX/XX/XXXX, they realized my wife had gotten a new job and needed another employment verification - despite the fact that she had only been at the new job for about a week. Her new employer got them what they needed immediately and we were told this was the last piece of information required. 
However, somehow we still did not close until XX/XX/XXXX. Throughout this time period, our rate lock had expired several times and numerous extensions had to be applied. Only one 30 day extension was "" covered '' by State Farm Bank even though none of the delays in processing were our fault. 
Closing disclosures began coming frequently throughout XX/XX/XXXX and XX/XX/XXXX and showed our closing costs were consistently rising because of points accruing due to the expired rate lock. We tried to reach our account manager ( XXXX XXXX, XXXX # XXXX ) four times over ten days ( twice via phone, twice via email ) to figure out why we were being given these points. We finally received a call back, but only after calling another associate, and were eventually told that the only way to remove the points was to unlock our rate - knowing very well that rates had gone up over a full percentage point during this time. We asked several times to speak to a manager and XXXX told us we did n't need to talk to a manager because he already had and there was nothing that could be done about the points. We made a series of other phone calls to finally reach a manager, and were told in a nicer tone that the "" good news '' is that the rate was still locked and even though we had to pay the points, the interest rate we were getting was still lower than current rates - so we should still be happy about that. 
We feel that because interest rates had risen so much, State Farm did not care if we followed through with the refinance and purposely dragged out the process so they could add on the points. They knew we were tied up and would never get the same interest rate again, so we essentially had no choice but to move forward. 
The customer service provided by State Farm Bank was truly one of the worst we 've ever experienced and made us feel extremely unvalued and unappreciated. Furthermore, their delaying the process combined with their lack of communication over this 6 month time period which resulted in us paying more money than originally promised is both unprofessional and unethical.",Closed with monetary relief
2046159,2024-08-04,Hypotheek,I have an adjustable rate mortgage with Washington Federal. On the change date they did not calculate the new rate per the terms on the contract. I have reached out to them 3 times with no forward progress on the issue. They can not produce a copy of the loan docs. I have a copy of the loan docs. The rate should be capped at 4 %. They raised the rate to 4.875 %. There is a line on the loan docs that is titled ; LIMIT ON INTEREST RATE CHANGE ; and it states ; The interest rate I am required to pay on the change date will not be greater than 4 %.,Closed with explanation
2297364,2025-01-19,Incasso,"On XX/XX/2017 I received an alert from my credit monitoring service that a collection account has been added to my credit report. I notice this is from a company I have never heard of or done business with. Convergent has placed an account on my credit report without contacting me, neither before or after the negative reporting. I was n't even given the opportunity to have this debt verified or disputed and more importantly I am convinced that this is a fraudulent reporting and extremely poor and deceptive collection practices at best. Convergent is practicing deceptive debt collection and has a total disregard for the Fair Debt Collection Practices act as they are in complete violation of the act.",Closed with explanation
1603009,2023-10-12,Hypotheek,"My mother died and I did not know she had a mortgage on her estate. When i found out about the mortgage i immediately contacted the mortgage company to make a payment. They informed me that I was not the executive of estate due to the fact they can not talk to me. Thereafter I became the executive of estate, then they requested documents death certificate, will, utility bills my birth certificate so on an so forth. By that time The mortgage company XXXX informed me that the estate was in foreclosure. That there was not a payment in a year. I panicked for a moment. I asked what is it that I have to do to stop the foreclosure. XXXX informed me that I had to fill out a Loan modification packet. I did over a dozen of Loan Modification packets. XXXX informed me that I was denied a Loan Modification because I was not residing in the house which the utility bills had the address of the estate. By that time XXXX had sold there Company to XXXX XXXX. Then we had to start over again. At that time I had all the documents XXXX XXXX XXXX requested at that point XXXX and XXXX XXXX was at fault for over charging minority. Then XXXX XXXX XXXX sold there Loans to Greentree. At that point I had to start over again they did not have any documents from the previous Companies. How can you determine if my mother owes on a loan if you do not have any documents that I summited. Well after I summit all the documents that greentree requested. Greentree always said that XXXX document or another. I played alone with that game for about two years then Greentree informed me that they was merging with DiTect at wits end.",Closed with explanation
1748387,2024-01-19,Hypotheek,"I am currently unemployed and having trouble keeping up with my XXXX mortgage payment with Ditech home mortgage. They know this. I have told them several times that I am trying to get them the money I owe them. I have been able to avoid foreclosure through family members. I get collections calls from them telling me that they know the house is vacant and are taking steps to take the house, and they know that I am still living at the address Now my relatives are getting calls telling them that I have a package and need to call a certain number to receive the package. I have check the internet on Ditech mortgage have found several negative remarks, and complaints about them. The loan was originally with XXXX mortgage company and sold to Green tree mortgage and sold to Ditech. 
I did not receive a new service letter from either green tree and Ditech. Which I believe is a violation. I worked in the XXXX fro fourteen years and I remember having to send letters of new servicing to customers I also AVE STRONG SUSPICIONS THAT THEY ARE INVOLVED IN PREDATOR LENDING PRACTICES. 


Thank you, XXXX XXXX DI TECH mortgage XXXX XXXX XXXX, SD XXXX",Closed with explanation
1373006,2023-05-13,Incasso,"I have been contacted by a collection agency on behalf of XXXX. I asked for verification of debt to be mailed to me, I was instead placed on hold and told that I had XXXX hour to respond to them or they would file charges. I advised that under federal law it was illegal to threaten me. I was then told they know the law and accused me of not wanting to pay a debt I owe. When I stated I wanted to verify I owe the debt and it was n't fraud, I was asked if I have a police report. Advised I do not because they have not sent me written verification in order to do so. I was then threated again that charges would be filed. 

This is a clear violation of federal law. They would not provide me with the company name, instead the supervisor hung up on me. Another violation. I called back and asked for the company name and was only given SPP.",Closed with explanation
2377788,2025-03-08,Hypotheek,"My mortgage company incorrectly reported my payment history as XXXX days late to all three credit bureaus. I am currently XXXX days late, not XXXX. I am requesting this information be corrected immediately. The entire reason for my payments that started falling behind was because Roundpoint did not pay our Homeowner 's Insurance despite it being escrowed. In order to avoid our policy not to lapse, we had to pay our of our pockets. Roundpoint took almost 2 months to rectify their mistake and reimburse us for the error.",Closed with explanation
2428961,2025-04-10,Consumentenkrediet,"On XX/XX/XXXX I called Chase Auto Finance to make that current month payment and schedule the next months payment for XX/XX/XXXX. On XX/XX/XXXX I was alerted by a credit monitoring service that my payment was, in fact, not posted and I suddenly experienced a XXXX point drop in my credit report. Chase made zero attempt to contacy me during this period to alert me to a mistake. ( Which was theirs! ) History is a teacher, I have ZERO 30 day late payments in my report. I called on XX/XX/XXXX and was treated abusively by a customer service representive. I was told there was NO record of my conversation and I must be in "" financial trouble '' He was extraordinarily abrasive and rude. I called again on XX/XX/XXXX and spoke to agents XXXX and XXXX ( ID # XXXX and XXXX respectively ) and was again told there was no record of my call. I am applying for a mortage in the next 60 days and this misstep in THEIR technology are going to cost me the ability to buy a home. I am asking for a full review of this and an adjustment to my credit report IMMEDIATELY. I am in an unfair fight as I have to just take thier word that their technology is perfect and without fault.",Closed with explanation
2444298,2025-04-21,Incasso,Second complaint on  Ad Astria Recovery Services.  We have not disputed that they step out of the Federal Credit Reporting Act Guidelines and reach out to speak to a person that I never worded that was my retained attorney I received my private verification from my friend that is a lawyer. The contract that did n't exhibit my true signature for a loan from  XXXX   XXXX . My private information was sent to a person that I did n't acknowledge I gave POA to or retained I did received the information. How di d Ad Astria s end a letter verifying my 30 days on the debt on   XXXX     but placed the actual debt without verification on my report on  XXXX ? Since I have filed this compliant Ad  Astria  has placed this on all  3 thr  ee  reports after violation of the Federal Reporting Act and sending information that they need verification after they placed on my credit report in  XXXX .     I will file in  XXXX   XXXX   XXXX  for fraudulent and misuse of Texas  Debt Act  and violation of my privacy by contacting and sending my personal information to another party.,Closed with explanation
1876519,2024-04-12,Incasso,I am constantly receiving harassing and threatening telephone call from XXXX XXXX debt collector Integrity for a debt of {$97.00} I do not owe. The account is an unauthorized and fraudulent account that 's the result of identity theft. The account do not belong to me.,Closed with explanation
1508409,2023-08-07,Incasso,I sent a letter requesting validation for a debt on my XXXX credit report. The debt is with Indepedent Recovery Resources in the amount of {$110.00}. I sent my first letter in XX/XX/XXXX and did not get a response. I sent another letter on XX/XX/XXXX and once again no response.,Closed with non-monetary relief
1556039,2023-09-08,Consumentenkrediet,"I took out a car loan with Chrysler Capital for a new car. My contract reads "" Payments will first pay interest owing to the date you receive my Payment, then Late Charges, and the remainder will reduce the Principal Balance I owe. '' My contract also states "" If I pay off early, I will not have to pay a penalty. "" On the first month I made a double payment on XXXX check and in the notes I requested the overage go to principal. The payment was applied to the current months payment and the following month 's payment rather than my principal. I called in and they said that I needed to create a separate check that said "" Principal Only. '' They corrected it so the second payment did go to principal. 

On the second month, I sent in two checks one for my payment and a second that said "" principal only '' for a round number slightly less than my car payment. They apologized for the error and corrected it so the second payment did go to principal. 

On the third month, I sent in two checks one for my payment and a second that said "" principal only '' for a round number slightly less than my car payment. This time they DID credit the principal only check to principal but they DOUBLED the interest on the check for the monthly payment and pushed the next payment two months further instead of applying it to principal. In other words, they did the same thing but tried to get cute with the accounting. 

I called and the person I spoke with said that I would have to call in each month to get it fixed. I said no, ma'am that 's not acceptable. My contract reads that overages will be applied to my principal. While I bent some with the separate check request in the spirit of cooperation, the truth is I should be able to send XXXX check in for {$1000.00} and have it applied exactly how my contract reads. They expect me to follow the contract or there are all kinds of penalties for me ; they should also have to follow the contract.",Closed with explanation
2090358,2024-08-31,Bankrekening,I opened a XXXX and leased a credit card machine the business was n't doing well and had to be closed. I was told that if I returned the equipment everything would be fine so I did. I was never told that I would be responsible for paying for the equipment even though it was returned to the merchant. The company first data has this account on my credit report and it 's affecting my ability to get a mortgage. Please help me remove this account from my credit report.,Closed with explanation
1290849,2023-03-19,Kredietregistratie,there is a XXXX BP account on my credit report that does not belong to me. I have attem have attempted to dispute several times to no avail.,Closed with explanation
2198567,2024-11-07,Hypotheek,"My husband and I was working with our loan company to lower our house payment because they had raised it and we could not afford it. We sent all information, forms and bank statements to them and would not get back to us. It was always very hard to get in touch with our point person. They said they was sending out someone to evaluate the home. No one ever came. We received a letter that they were through with their evaluation and was ready to start foreclosure before sending someone out to our home.",Closed with explanation
